F1,nobail_no,F3,F4,prefix,F5
390,1001001390,6,4,100,5
391,1001001391,6,4,100,5
392,1001001392,6,4,100,5
393,1001001393,6,4,100,5
394,1001001394,6,4,100,5
395,1001001395,6,4,100,5
396,1001001396,6,4,100,5
397,1001001397,6,4,100,5
398,1001001398,6,4,100,5
399,1001001399,6,4,100,5
400,1001001400,6,4,100,5
401,1001001401,6,4,100,5
402,1001001402,6,4,100,5
403,1001001403,6,4,100,5
404,1001001404,6,4,100,5
405,1001001405,6,4,100,5
406,1001001406,6,4,100,5
407,1001001407,6,4,100,5
408,1001001408,6,4,100,5
409,1001001409,6,4,100,5
410,1001001410,6,4,100,5
411,1001001411,6,4,100,5
412,1001001412,6,4,100,5
413,1001001413,6,4,100,5
414,1001001414,6,4,100,5
415,1001001415,6,4,100,5
416,1001001416,6,4,100,5
417,1001001417,6,4,100,5
418,1001001418,6,4,100,5
419,1001001419,6,4,100,5
420,1001001420,6,4,100,5
421,1001001421,6,4,100,5
422,1001001422,6,4,100,5
423,1001001423,6,4,100,5
424,1001001424,6,4,100,5
425,1001001425,6,4,100,5
426,1001001426,6,4,100,5
427,1001001427,6,4,100,5
428,1001001428,6,4,100,5
429,1001001429,6,4,100,5
430,1001001430,6,4,100,5
431,1001001431,6,4,100,5
432,1001001432,6,4,100,5
433,1001001433,6,4,100,5
434,1001001434,6,4,100,5
435,1001001435,6,4,100,5
436,1001001436,6,4,100,5
437,1001001437,6,4,100,5
438,1001001438,6,4,100,5
439,1001001439,6,4,100,5
440,1001001440,6,4,100,5
441,1001001441,6,4,100,5
442,1001001442,6,4,100,5
443,1001001443,6,4,100,5
444,1001001444,6,4,100,5
445,1001001445,6,4,100,5
446,1001001446,6,4,100,5
447,1001001447,6,4,100,5
448,1001001448,6,4,100,5
449,1001001449,6,4,100,5
450,1001001450,6,4,100,5
451,1001001451,6,4,100,5
452,1001001452,6,4,100,5
453,1001001453,6,4,100,5
454,1001001454,6,4,100,5
455,1001001455,6,4,100,5
456,1001001456,6,4,100,5
457,1001001457,6,4,100,5
458,1001001458,6,4,100,5
459,1001001459,6,4,100,5
460,1001001460,6,4,100,5
461,1001001461,6,4,100,5
462,1001001462,6,4,100,5
463,1001001463,6,4,100,5
464,1001001464,6,4,100,5
465,1001001465,6,4,100,5
466,1001001466,6,4,100,5
467,1001001467,6,4,100,5
468,1001001468,6,4,100,5
469,1001001469,6,4,100,5
470,1001001470,6,4,100,5
471,1001001471,6,4,100,5
472,1001001472,6,4,100,5
473,1001001473,6,4,100,5
474,1001001474,6,4,100,5
475,1001001475,6,4,100,5
476,1001001476,6,4,100,5
477,1001001477,6,4,100,5
478,1001001478,6,4,100,5
479,1001001479,6,4,100,5
480,1001001480,6,4,100,5
481,1001001481,6,4,100,5
482,1001001482,6,4,100,5
483,1001001483,6,4,100,5
484,1001001484,6,4,100,5
485,1001001485,6,4,100,5
486,1001001486,6,4,100,5
487,1001001487,6,4,100,5
488,1001001488,6,4,100,5
489,1001001489,6,4,100,5
490,1001001490,6,4,100,5
491,1001001491,6,4,100,5
492,1001001492,6,4,100,5
493,1001001493,6,4,100,5
494,1001001494,6,4,100,5
495,1001001495,6,4,100,5
496,1001001496,6,4,100,5
497,1001001497,6,4,100,5
498,1001001498,6,4,100,5
499,1001001499,6,4,100,5
500,1001001500,6,4,100,5
501,1001001501,6,4,100,5
502,1001001502,6,4,100,5
503,1001001503,6,4,100,5
504,1001001504,6,4,100,5
505,1001001505,6,4,100,5
506,1001001506,6,4,100,5
507,1001001507,6,4,100,5
508,1001001508,6,4,100,5
509,1001001509,6,4,100,5
510,1001001510,6,4,100,5
511,1001001511,6,4,100,5
512,1001001512,6,4,100,5
513,1001001513,6,4,100,5
514,1001001514,6,4,100,5
515,1001001515,6,4,100,5
516,1001001516,6,4,100,5
517,1001001517,6,4,100,5
518,1001001518,6,4,100,5
519,1001001519,6,4,100,5
520,1001001520,6,4,100,5
521,1001001521,6,4,100,5
522,1001001522,6,4,100,5
523,1001001523,6,4,100,5
524,1001001524,6,4,100,5
525,1001001525,6,4,100,5
526,1001001526,6,4,100,5
527,1001001527,6,4,100,5
528,1001001528,6,4,100,5
529,1001001529,6,4,100,5
530,1001001530,6,4,100,5
531,1001001531,6,4,100,5
532,1001001532,6,4,100,5
533,1001001533,6,4,100,5
534,1001001534,6,4,100,5
535,1001001535,6,4,100,5
536,1001001536,6,4,100,5
537,1001001537,6,4,100,5
538,1001001538,6,4,100,5
539,1001001539,6,4,100,5
540,1001001540,6,4,100,5
541,1001001541,6,4,100,5
542,1001001542,6,4,100,5
543,1001001543,6,4,100,5
544,1001001544,6,4,100,5
545,1001001545,6,4,100,5
546,1001001546,6,4,100,5
547,1001001547,6,4,100,5
548,1001001548,6,4,100,5
549,1001001549,6,4,100,5
550,1001001550,6,4,100,5
551,1001001551,6,4,100,5
552,1001001552,6,4,100,5
553,1001001553,6,4,100,5
554,1001001554,6,4,100,5
555,1001001555,6,4,100,5
556,1001001556,6,4,100,5
557,1001001557,6,4,100,5
558,1001001558,6,4,100,5
559,1001001559,6,4,100,5
560,1001001560,6,4,100,5
561,1001001561,6,4,100,5
562,1001001562,6,4,100,5
563,1001001563,6,4,100,5
564,1001001564,6,4,100,5
565,1001001565,6,4,100,5
566,1001001566,6,4,100,5
567,1001001567,6,4,100,5
568,1001001568,6,4,100,5
569,1001001569,6,4,100,5
570,1001001570,6,4,100,5
571,1001001571,6,4,100,5
572,1001001572,6,4,100,5
573,1001001573,6,4,100,5
574,1001001574,6,4,100,5
575,1001001575,6,4,100,5
576,1001001576,6,4,100,5
577,1001001577,6,4,100,5
578,1001001578,6,4,100,5
579,1001001579,6,4,100,5
580,1001001580,6,4,100,5
581,1001001581,6,4,100,5
582,1001001582,6,4,100,5
583,1001001583,6,4,100,5
584,1001001584,6,4,100,5
585,1001001585,6,4,100,5
586,1001001586,6,4,100,5
587,1001001587,6,4,100,5
588,1001001588,6,4,100,5
589,1001001589,6,4,100,5
590,1001001590,6,4,100,5
591,1001001591,6,4,100,5
592,1001001592,6,4,100,5
593,1001001593,6,4,100,5
594,1001001594,6,4,100,5
595,1001001595,6,4,100,5
596,1001001596,6,4,100,5
597,1001001597,6,4,100,5
598,1001001598,6,4,100,5
599,1001001599,6,4,100,5
600,1001001600,6,4,100,5
601,1001001601,6,4,100,5
602,1001001602,6,4,100,5
603,1001001603,6,4,100,5
604,1001001604,6,4,100,5
605,1001001605,6,4,100,5
606,1001001606,6,4,100,5
607,1001001607,6,4,100,5
608,1001001608,6,4,100,5
609,1001001609,6,4,100,5
610,1001001610,6,4,100,5
611,1001001611,6,4,100,5
612,1001001612,6,4,100,5
613,1001001613,6,4,100,5
614,1001001614,6,4,100,5
615,1001001615,6,4,100,5
616,1001001616,6,4,100,5
617,1001001617,6,4,100,5
618,1001001618,6,4,100,5
619,1001001619,6,4,100,5
620,1001001620,6,4,100,5
621,1001001621,6,4,100,5
622,1001001622,6,4,100,5
623,1001001623,6,4,100,5
624,1001001624,6,4,100,5
625,1001001625,6,4,100,5
626,1001001626,6,4,100,5
627,1001001627,6,4,100,5
628,1001001628,6,4,100,5
629,1001001629,6,4,100,5
630,1001001630,6,4,100,5
631,1001001631,6,4,100,5
632,1001001632,6,4,100,5
633,1001001633,6,4,100,5
634,1001001634,6,4,100,5
635,1001001635,6,4,100,5
636,1001001636,6,4,100,5
637,1001001637,6,4,100,5
638,1001001638,6,4,100,5
639,1001001639,6,4,100,5
640,1001001640,6,4,100,5
641,1001001641,6,4,100,5
642,1001001642,6,4,100,5
643,1001001643,6,4,100,5
644,1001001644,6,4,100,5
645,1001001645,6,4,100,5
646,1001001646,6,4,100,5
647,1001001647,6,4,100,5
648,1001001648,6,4,100,5
649,1001001649,6,4,100,5
650,1001001650,6,4,100,5
651,1001001651,6,4,100,5
652,1001001652,6,4,100,5
653,1001001653,6,4,100,5
654,1001001654,6,4,100,5
655,1001001655,6,4,100,5
656,1001001656,6,4,100,5
657,1001001657,6,4,100,5
658,1001001658,6,4,100,5
659,1001001659,6,4,100,5
660,1001001660,6,4,100,5
661,1001001661,6,4,100,5
662,1001001662,6,4,100,5
663,1001001663,6,4,100,5
664,1001001664,6,4,100,5
665,1001001665,6,4,100,5
666,1001001666,6,4,100,5
667,1001001667,6,4,100,5
668,1001001668,6,4,100,5
669,1001001669,6,4,100,5
670,1001001670,6,4,100,5
671,1001001671,6,4,100,5
672,1001001672,6,4,100,5
673,1001001673,6,4,100,5
674,1001001674,6,4,100,5
675,1001001675,6,4,100,5
676,1001001676,6,4,100,5
677,1001001677,6,4,100,5
678,1001001678,6,4,100,5
679,1001001679,6,4,100,5
680,1001001680,6,4,100,5
681,1001001681,6,4,100,5
682,1001001682,6,4,100,5
683,1001001683,6,4,100,5
684,1001001684,6,4,100,5
685,1001001685,6,4,100,5
686,1001001686,6,4,100,5
687,1001001687,6,4,100,5
688,1001001688,6,4,100,5
689,1001001689,6,4,100,5
690,1001001690,6,4,100,5
691,1001001691,6,4,100,5
692,1001001692,6,4,100,5
693,1001001693,6,4,100,5
694,1001001694,6,4,100,5
695,1001001695,6,4,100,5
696,1001001696,6,4,100,5
697,1001001697,6,4,100,5
698,1001001698,6,4,100,5
699,1001001699,6,4,100,5
700,1001001700,6,4,100,5
701,1001001701,6,4,100,5
702,1001001702,6,4,100,5
703,1001001703,6,4,100,5
704,1001001704,6,4,100,5
705,1001001705,6,4,100,5
706,1001001706,6,4,100,5
707,1001001707,6,4,100,5
708,1001001708,6,4,100,5
709,1001001709,6,4,100,5
710,1001001710,6,4,100,5
711,1001001711,6,4,100,5
712,1001001712,6,4,100,5
713,1001001713,6,4,100,5
714,1001001714,6,4,100,5
715,1001001715,6,4,100,5
716,1001001716,6,4,100,5
717,1001001717,6,4,100,5
718,1001001718,6,4,100,5
719,1001001719,6,4,100,5
720,1001001720,6,4,100,5
721,1001001721,6,4,100,5
722,1001001722,6,4,100,5
723,1001001723,6,4,100,5
724,1001001724,6,4,100,5
725,1001001725,6,4,100,5
726,1001001726,6,4,100,5
727,1001001727,6,4,100,5
728,1001001728,6,4,100,5
729,1001001729,6,4,100,5
730,1001001730,6,4,100,5
731,1001001731,6,4,100,5
732,1001001732,6,4,100,5
733,1001001733,6,4,100,5
734,1001001734,6,4,100,5
735,1001001735,6,4,100,5
736,1001001736,6,4,100,5
737,1001001737,6,4,100,5
738,1001001738,6,4,100,5
739,1001001739,6,4,100,5
740,1001001740,6,4,100,5
741,1001001741,6,4,100,5
742,1001001742,6,4,100,5
743,1001001743,6,4,100,5
744,1001001744,6,4,100,5
745,1001001745,6,4,100,5
746,1001001746,6,4,100,5
747,1001001747,6,4,100,5
748,1001001748,6,4,100,5
749,1001001749,6,4,100,5
750,1001001750,6,4,100,5
751,1001001751,6,4,100,5
752,1001001752,6,4,100,5
753,1001001753,6,4,100,5
754,1001001754,6,4,100,5
755,1001001755,6,4,100,5
756,1001001756,6,4,100,5
757,1001001757,6,4,100,5
758,1001001758,6,4,100,5
759,1001001759,6,4,100,5
760,1001001760,6,4,100,5
761,1001001761,6,4,100,5
762,1001001762,6,4,100,5
763,1001001763,6,4,100,5
764,1001001764,6,4,100,5
765,1001001765,6,4,100,5
766,1001001766,6,4,100,5
767,1001001767,6,4,100,5
768,1001001768,6,4,100,5
769,1001001769,6,4,100,5
770,1001001770,6,4,100,5
771,1001001771,6,4,100,5
772,1001001772,6,4,100,5
773,1001001773,6,4,100,5
774,1001001774,6,4,100,5
775,1001001775,6,4,100,5
776,1001001776,6,4,100,5
777,1001001777,6,4,100,5
778,1001001778,6,4,100,5
779,1001001779,6,4,100,5
780,1001001780,6,4,100,5
781,1001001781,6,4,100,5
782,1001001782,6,4,100,5
783,1001001783,6,4,100,5
784,1001001784,6,4,100,5
785,1001001785,6,4,100,5
786,1001001786,6,4,100,5
787,1001001787,6,4,100,5
788,1001001788,6,4,100,5
789,1001001789,6,4,100,5
790,1001001790,6,4,100,5
791,1001001791,6,4,100,5
792,1001001792,6,4,100,5
793,1001001793,6,4,100,5
794,1001001794,6,4,100,5
795,1001001795,6,4,100,5
796,1001001796,6,4,100,5
797,1001001797,6,4,100,5
798,1001001798,6,4,100,5
799,1001001799,6,4,100,5
800,1001001800,6,4,100,5
801,1001001801,6,4,100,5
802,1001001802,6,4,100,5
803,1001001803,6,4,100,5
804,1001001804,6,4,100,5
805,1001001805,6,4,100,5
806,1001001806,6,4,100,5
807,1001001807,6,4,100,5
808,1001001808,6,4,100,5
809,1001001809,6,4,100,5
810,1001001810,6,4,100,5
811,1001001811,6,4,100,5
812,1001001812,6,4,100,5
813,1001001813,6,4,100,5
814,1001001814,6,4,100,5
815,1001001815,6,4,100,5
816,1001001816,6,4,100,5
817,1001001817,6,4,100,5
818,1001001818,6,4,100,5
819,1001001819,6,4,100,5
820,1001001820,6,4,100,5
821,1001001821,6,4,100,5
822,1001001822,6,4,100,5
823,1001001823,6,4,100,5
824,1001001824,6,4,100,5
825,1001001825,6,4,100,5
826,1001001826,6,4,100,5
827,1001001827,6,4,100,5
828,1001001828,6,4,100,5
829,1001001829,6,4,100,5
830,1001001830,6,4,100,5
831,1001001831,6,4,100,5
832,1001001832,6,4,100,5
833,1001001833,6,4,100,5
834,1001001834,6,4,100,5
835,1001001835,6,4,100,5
836,1001001836,6,4,100,5
837,1001001837,6,4,100,5
838,1001001838,6,4,100,5
839,1001001839,6,4,100,5
840,1001001840,6,4,100,5
841,1001001841,6,4,100,5
842,1001001842,6,4,100,5
843,1001001843,6,4,100,5
844,1001001844,6,4,100,5
845,1001001845,6,4,100,5
846,1001001846,6,4,100,5
847,1001001847,6,4,100,5
848,1001001848,6,4,100,5
849,1001001849,6,4,100,5
850,1001001850,6,4,100,5
851,1001001851,6,4,100,5
852,1001001852,6,4,100,5
853,1001001853,6,4,100,5
854,1001001854,6,4,100,5
855,1001001855,6,4,100,5
856,1001001856,6,4,100,5
857,1001001857,6,4,100,5
858,1001001858,6,4,100,5
859,1001001859,6,4,100,5
860,1001001860,6,4,100,5
861,1001001861,6,4,100,5
862,1001001862,6,4,100,5
863,1001001863,6,4,100,5
864,1001001864,6,4,100,5
865,1001001865,6,4,100,5
866,1001001866,6,4,100,5
867,1001001867,6,4,100,5
868,1001001868,6,4,100,5
869,1001001869,6,4,100,5
870,1001001870,6,4,100,5
871,1001001871,6,4,100,5
872,1001001872,6,4,100,5
873,1001001873,6,4,100,5
874,1001001874,6,4,100,5
875,1001001875,6,4,100,5
876,1001001876,6,4,100,5
877,1001001877,6,4,100,5
878,1001001878,6,4,100,5
879,1001001879,6,4,100,5
880,1001001880,6,4,100,5
881,1001001881,6,4,100,5
882,1001001882,6,4,100,5
883,1001001883,6,4,100,5
884,1001001884,6,4,100,5
885,1001001885,6,4,100,5
886,1001001886,6,4,100,5
887,1001001887,6,4,100,5
888,1001001888,6,4,100,5
889,1001001889,6,4,100,5
890,1001001890,6,4,100,5
891,1001001891,6,4,100,5
892,1001001892,6,4,100,5
893,1001001893,6,4,100,5
894,1001001894,6,4,100,5
895,1001001895,6,4,100,5
896,1001001896,6,4,100,5
897,1001001897,6,4,100,5
898,1001001898,6,4,100,5
899,1001001899,6,4,100,5
900,1001001900,6,4,100,5
901,1001001901,6,4,100,5
902,1001001902,6,4,100,5
903,1001001903,6,4,100,5
904,1001001904,6,4,100,5
905,1001001905,6,4,100,5
906,1001001906,6,4,100,5
907,1001001907,6,4,100,5
908,1001001908,6,4,100,5
909,1001001909,6,4,100,5
910,1001001910,6,4,100,5
911,1001001911,6,4,100,5
912,1001001912,6,4,100,5
913,1001001913,6,4,100,5
914,1001001914,6,4,100,5
915,1001001915,6,4,100,5
916,1001001916,6,4,100,5
917,1001001917,6,4,100,5
918,1001001918,6,4,100,5
919,1001001919,6,4,100,5
920,1001001920,6,4,100,5
921,1001001921,6,4,100,5
922,1001001922,6,4,100,5
923,1001001923,6,4,100,5
924,1001001924,6,4,100,5
925,1001001925,6,4,100,5
926,1001001926,6,4,100,5
927,1001001927,6,4,100,5
928,1001001928,6,4,100,5
929,1001001929,6,4,100,5
930,1001001930,6,4,100,5
